Experimento K-Means - silhouette e inertia por K
K=2 | silhouette=0.900990654406533 | inertia=219802.60887949105
K=3 | silhouette=0.3272542132340993 | inertia=203777.697762148
K=4 | silhouette=0.23477858032089965 | inertia=189612.21700639417
K=5 | silhouette=0.2443955439695892 | inertia=174515.8233574733
K=6 | silhouette=0.23907820854384224 | inertia=165484.33685659635
K=7 | silhouette=0.24737902169513287 | inertia=159606.17896058763
K=8 | silhouette=0.2502480243851917 | inertia=152470.9501035064
K=9 | silhouette=0.23665569899990915 | inertia=146189.5061147503
K=10 | silhouette=0.26044178857402367 | inertia=138995.19303605077

Experimento K-Means - silhouette e inertia por K
K=2 | silhouette=0.900990654406533 | inertia=219802.60887949105
K=3 | silhouette=0.3272542132340993 | inertia=203777.697762148
K=4 | silhouette=0.23477858032089965 | inertia=189612.21700639417
K=5 | silhouette=0.2443955439695892 | inertia=174515.8233574733
K=6 | silhouette=0.23907820854384224 | inertia=165484.33685659635
K=7 | silhouette=0.24737902169513287 | inertia=159606.17896058763
K=8 | silhouette=0.2502480243851917 | inertia=152470.9501035064
K=9 | silhouette=0.23665569899990915 | inertia=146189.5061147503
K=10 | silhouette=0.26044178857402367 | inertia=138995.19303605077

Experimento K-Means - silhouette e inertia por K
K=2 | silhouette=0.900990654406533 | inertia=219802.60887949105
K=3 | silhouette=0.3272542132340993 | inertia=203777.697762148
K=4 | silhouette=0.23477858032089965 | inertia=189612.21700639417
K=5 | silhouette=0.2443955439695892 | inertia=174515.82335747327
K=6 | silhouette=0.23907820854384224 | inertia=165484.33685659635
K=7 | silhouette=0.24737902169513287 | inertia=159606.17896058763
K=8 | silhouette=0.2502480243851917 | inertia=152470.9501035064
K=9 | silhouette=0.23665569899990915 | inertia=146189.5061147503
K=10 | silhouette=0.26044178857402367 | inertia=138995.19303605077

Experimento K-Means - silhouette e inertia por K
K=2 | silhouette=0.900990654406533 | inertia=219802.60887949105
K=3 | silhouette=0.3272542132340993 | inertia=203777.697762148
K=4 | silhouette=0.23477858032089965 | inertia=189612.21700639417
K=5 | silhouette=0.2443955439695892 | inertia=174515.8233574733
K=6 | silhouette=0.23907820854384224 | inertia=165484.33685659635
K=7 | silhouette=0.24737902169513287 | inertia=159606.17896058763
K=8 | silhouette=0.2502480243851917 | inertia=152470.9501035064
K=9 | silhouette=0.23665569899990915 | inertia=146189.5061147503
K=10 | silhouette=0.26044178857402367 | inertia=138995.19303605077

Experimento K-Means - silhouette e inertia por K
K=2 | silhouette=0.900990654406533 | inertia=219802.60887949105
K=3 | silhouette=0.3272542132340993 | inertia=203777.697762148
K=4 | silhouette=0.23477858032089965 | inertia=189612.21700639417
K=5 | silhouette=0.2443955439695892 | inertia=174515.8233574733
K=6 | silhouette=0.23907820854384224 | inertia=165484.33685659635
K=7 | silhouette=0.24737902169513287 | inertia=159606.17896058763
K=8 | silhouette=0.2502480243851917 | inertia=152470.9501035064
K=9 | silhouette=0.23665569899990915 | inertia=146189.5061147503
K=10 | silhouette=0.26044178857402367 | inertia=138995.19303605077

Experimento K-Means - silhouette e inertia por K
K=2 | silhouette=0.900990654406533 | inertia=219802.60887949105
K=3 | silhouette=0.3272542132340993 | inertia=203777.697762148
K=4 | silhouette=0.23477858032089965 | inertia=189612.21700639417
K=5 | silhouette=0.2443955439695892 | inertia=174515.8233574733
K=6 | silhouette=0.23907820854384224 | inertia=165484.33685659635
K=7 | silhouette=0.24737902169513287 | inertia=159606.17896058763
K=8 | silhouette=0.2502480243851917 | inertia=152470.9501035064
K=9 | silhouette=0.23665569899990915 | inertia=146189.5061147503
K=10 | silhouette=0.26044178857402367 | inertia=138995.19303605077

Experimento K-Means - silhouette e inertia por K
K=2 | silhouette=0.900990654406533 | inertia=219802.60887949105
K=3 | silhouette=0.3272542132340993 | inertia=203777.697762148
K=4 | silhouette=0.23477858032089965 | inertia=189612.21700639417
K=5 | silhouette=0.2443955439695892 | inertia=174515.82335747327
K=6 | silhouette=0.23907820854384224 | inertia=165484.33685659635
K=7 | silhouette=0.24737902169513287 | inertia=159606.17896058763
K=8 | silhouette=0.2502480243851917 | inertia=152470.9501035064
K=9 | silhouette=0.23665569899990915 | inertia=146189.5061147503
K=10 | silhouette=0.26044178857402367 | inertia=138995.19303605077

Experimento K-Means - silhouette e inertia por K
K=2 | silhouette=0.900990654406533 | inertia=219802.60887949105
K=3 | silhouette=0.3272542132340993 | inertia=203777.697762148
K=4 | silhouette=0.23477858032089965 | inertia=189612.21700639417
K=5 | silhouette=0.2443955439695892 | inertia=174515.8233574733
K=6 | silhouette=0.23907820854384224 | inertia=165484.33685659635
K=7 | silhouette=0.24737902169513287 | inertia=159606.17896058763
K=8 | silhouette=0.2502480243851917 | inertia=152470.9501035064
K=9 | silhouette=0.23665569899990915 | inertia=146189.5061147503
K=10 | silhouette=0.26044178857402367 | inertia=138995.19303605077

Experimento K-Means - silhouette e inertia por K
K=2 | silhouette=0.900990654406533 | inertia=219802.60887949105
K=3 | silhouette=0.3272542132340993 | inertia=203777.697762148
K=4 | silhouette=0.23477858032089965 | inertia=189612.21700639417
K=5 | silhouette=0.2443955439695892 | inertia=174515.8233574733
K=6 | silhouette=0.23907820854384224 | inertia=165484.33685659635
K=7 | silhouette=0.24737902169513287 | inertia=159606.17896058763
K=8 | silhouette=0.2502480243851917 | inertia=152470.9501035064
K=9 | silhouette=0.23665569899990915 | inertia=146189.5061147503
K=10 | silhouette=0.26044178857402367 | inertia=138995.19303605077

Experimento K-Means - silhouette e inertia por K
K=2 | silhouette=0.900990654406533 | inertia=219802.60887949105
K=3 | silhouette=0.3272542132340993 | inertia=203777.697762148
K=4 | silhouette=0.23477858032089965 | inertia=189612.21700639417
K=5 | silhouette=0.2443955439695892 | inertia=174515.8233574733
K=6 | silhouette=0.23907820854384224 | inertia=165484.33685659635
K=7 | silhouette=0.24737902169513287 | inertia=159606.17896058763
K=8 | silhouette=0.2502480243851917 | inertia=152470.9501035064
