,n_outliers,pct_outliers,lower_bound,upper_bound
file_size,1510.0,7.8254560530679935,-92764.75,180261.25
title_chars,538.0,2.7881426202321724,-37.5,62.5
encrypted,84.0,0.43532338308457713,0.0,0.0
metadata_size,50.0,0.25912106135986734,-376.5,627.5
page_count,2677.0,13.873341625207297,-3.0,5.0
valid_pdf_header,0.0,0.0,-1.5,2.5
image_count,3899.0,20.206260364842453,0.0,0.0
text_length,2356.0,12.20978441127695,-9438.75,15731.25
object_count,2917.0,15.11712271973466,-105.0,175.0
font_object_count,1535.0,7.955016583747927,-4.5,7.5
stream_count,2088.0,10.820895522388058,-48.0,80.0
endstream_count,2088.0,10.820895522388058,-24.0,40.0
average_stream_size,1721.0,8.918946932006634,-3164.3958333749997,5273.993055625
entropy_of_streams,0.0,0.0,-9.197860806,15.329768009999999
name_obfuscations,3571.0,18.506426202321723,0.0,0.0
total_filters,2107.0,10.91936152570481,-21.0,35.0
nested_filter_objects,1268.0,6.571310116086236,0.0,0.0
objstm_count,3114.0,16.138059701492537,0.0,0.0
js_count,1981.0,10.266376451077944,0.0,0.0
javascript_count,1901.0,9.851782752902157,0.0,0.0
uri_count,1344.0,6.965174129353234,0.0,0.0
uses_nonstandard_port,85.0,0.44050580431177444,0.0,0.0
action_count,484.0,2.5082918739635156,0.0,0.0
aa_count,622.0,3.2234660033167497,0.0,0.0
openaction_count,1671.0,8.659825870646767,0.0,0.0
launch_count,82.0,0.4249585406301824,0.0,0.0
acroform_count,4210.0,21.81799336650083,0.0,0.0
xfa_count,894.0,4.633084577114428,0.0,0.0
colors_count,644.0,3.3374792703150913,0.0,0.0
richmedia_count,6.0,0.03109452736318408,0.0,0.0
has_multiple_behavioral_keywords_in_one_object,1872.0,9.701492537313433,0.0,0.0
used_ocr,3414.0,17.692786069651742,0.0,0.0
title_entropy,28.0,0.14510779436152568,1.2690107821159866,5.2183153631400225
