                                                file_size  title_chars  encrypted  metadata_size  page_count  valid_pdf_header  image_count  text_length  object_count  font_object_count  stream_count  endstream_count  average_stream_size  entropy_of_streams  name_obfuscations  total_filters  nested_filter_objects  objstm_count  js_count  javascript_count  uri_count  uses_nonstandard_port  action_count  aa_count  openaction_count  launch_count  acroform_count  xfa_count  colors_count  richmedia_count  has_multiple_behavioral_keywords_in_one_object  used_ocr     label  title_entropy
file_size                                        1.000000     0.414111   0.043598       0.487812    0.481663          0.512711     0.383369     0.486885      0.566497           0.501581      0.578693         0.578686             0.475667            0.423277           0.431182       0.575517               0.113533      0.334019 -0.070846         -0.086665   0.237265              -0.055671      0.047514  0.139784         -0.012597     -0.020523        0.270940  -0.070792      0.155024         0.010318                                       -0.093025  0.097383 -0.613171      -0.330029
title_chars                                      0.414111     1.000000   0.056526       0.714811    0.673407          0.746808     0.226047     0.602204      0.655219           0.533259      0.626321         0.626329             0.510003            0.601201           0.337678       0.612390               0.094357      0.319737  0.252718          0.251348   0.235307               0.030844      0.068180  0.154737          0.167008      0.068935        0.301200  -0.032531      0.076505         0.003187                                        0.243023  0.226297 -0.616814      -0.335019
encrypted                                        0.043598     0.056526   1.000000       0.051368    0.050166          0.041391     0.018286     0.047252      0.051806           0.060319      0.046322         0.046323             0.020660            0.054501           0.026028       0.046383               0.010235     -0.011034  0.029501          0.027811   0.098890              -0.004398     -0.005596  0.064325          0.055009     -0.004319        0.016783  -0.007085     -0.007906        -0.001166                                        0.033702 -0.024469 -0.057546      -0.004340
metadata_size                                    0.487812     0.714811   0.051368       1.000000    0.697222          0.742170     0.238756     0.663719      0.774532           0.671846      0.738994         0.738994             0.471614            0.597508           0.417536       0.727389               0.023955      0.471294  0.146326          0.142730   0.283770               0.067922      0.005683  0.159137          0.120204      0.013321        0.364497  -0.038296      0.047846        -0.006249                                        0.135531  0.065908 -0.699928      -0.391306
page_count                                       0.481663     0.673407   0.050166       0.697222    1.000000          0.790567     0.196852     0.865274      0.773869           0.658620      0.754306         0.754320             0.513178            0.765068           0.364982       0.748084               0.085954      0.356893  0.126335          0.112502   0.255309               0.019335      0.092888  0.112666          0.194165      0.017676        0.236188   0.026281      0.038123         0.001762                                        0.112119  0.078622 -0.711540      -0.427589
valid_pdf_header                                 0.512711     0.746808   0.041391       0.742170    0.790567          1.000000     0.386595     0.749854      0.751150           0.570419      0.754552         0.754558             0.747863            0.746804           0.368273       0.737321               0.209689      0.334839  0.265506          0.258657   0.214857               0.053010      0.127408  0.144613          0.245134      0.052058        0.408717   0.175651      0.147809         0.014054                                        0.257016  0.369492 -0.766116      -0.445895
image_count                                      0.383369     0.226047   0.018286       0.238756    0.196852          0.386595     1.000000     0.179301      0.260020           0.045436      0.290806         0.290799             0.468424            0.228610           0.166035       0.297997               0.335177      0.057892 -0.049664         -0.073132   0.061215              -0.007339     -0.018360  0.060061         -0.092060     -0.027849        0.146129  -0.104448      0.397484        -0.002035                                       -0.069222  0.523838 -0.461403      -0.233476
text_length                                      0.486885     0.602204   0.047252       0.663719    0.865274          0.749854     0.179301     1.000000      0.753421           0.661529      0.763329         0.763339             0.483381            0.729558           0.371564       0.763116               0.067477      0.349133  0.040901          0.029971   0.260728              -0.000992      0.030354  0.104548          0.120361      0.000605        0.298393   0.139723      0.045517        -0.004612                                        0.029470 -0.004664 -0.680857      -0.406685
object_count                                     0.566497     0.655219   0.051806       0.774532    0.773869          0.751150     0.260020     0.753421      1.000000           0.715231      0.865624         0.865632             0.466693            0.646805           0.463311       0.857006               0.063146      0.519102  0.098476          0.086539   0.288448              -0.007084      0.070464  0.164983          0.103726      0.031588        0.398135   0.014608      0.089973         0.002254                                        0.080460  0.054072 -0.714611      -0.392354
font_object_count                                0.501581     0.533259   0.060319       0.671846    0.658620          0.570419     0.045436     0.661529      0.715231           1.000000      0.705667         0.705679             0.329889            0.550552           0.479748       0.714339              -0.111402      0.526251  0.022391          0.011335   0.335869               0.016970      0.040223  0.187986          0.109938      0.032405        0.237394  -0.146022     -0.086689        -0.005759                                        0.009337 -0.303203 -0.653577      -0.336880
stream_count                                     0.578693     0.626321   0.046322       0.738994    0.754306          0.754552     0.290806     0.763329      0.865624           0.705667      1.000000         0.999986             0.454410            0.603821           0.475192       0.971503              -0.008157      0.492334  0.088008          0.075888   0.257081              -0.004168      0.055083  0.172641          0.062950      0.011901        0.470351   0.095524      0.155487         0.002698                                        0.067797  0.054679 -0.693225      -0.375508
endstream_count                                  0.578686     0.626329   0.046323       0.738994    0.754320          0.754558     0.290799     0.763339      0.865632           0.705679      0.999986         1.000000             0.454401            0.603837           0.475190       0.971519              -0.008155      0.492324  0.088001          0.075880   0.257075              -0.004167      0.055087  0.172653          0.062955      0.011904        0.470353   0.095519      0.155491         0.002698                                        0.067790  0.054676 -0.693238      -0.375523
average_stream_size                              0.475667     0.510003   0.020660       0.471614    0.513178          0.747863     0.468424     0.483381      0.466693           0.329889      0.454410         0.454401             1.000000            0.573009           0.263160       0.444344               0.311501      0.106602  0.122138          0.107838   0.185330               0.006348      0.110486  0.089869          0.142947     -0.005268        0.221020   0.092991      0.167450         0.019628                                        0.103660  0.448952 -0.625169      -0.362642
