                                                file_size  title_chars  encrypted  metadata_size  page_count  valid_pdf_header  image_count  text_length  object_count  font_object_count  stream_count  endstream_count  average_stream_size  entropy_of_streams  name_obfuscations  total_filters  nested_filter_objects  objstm_count  js_count  javascript_count  uri_count  uses_nonstandard_port  action_count  aa_count  openaction_count  launch_count  acroform_count  xfa_count  colors_count  richmedia_count  has_multiple_behavioral_keywords_in_one_object  used_ocr     label  title_entropy
file_size                                        1.000000     0.080567   0.118465       0.115383    0.277350          0.092499     0.201864     0.301059      0.022137           0.135378      0.220262         0.220192             0.172388            0.095337           0.120036       0.238652               0.028726      0.071049  0.064483          0.047239   0.073088              -0.004835      0.103107  0.048899          0.035050      0.002077        0.071591  -0.027478      0.049583         0.001704                                        0.053241 -0.001969 -0.120877      -0.010170
title_chars                                      0.080567     1.000000   0.074187       0.690889    0.216010          0.607311     0.089256     0.157169      0.017693           0.208818      0.186374         0.186344             0.034136            0.610632           0.030379       0.196933               0.011840      0.191406  0.049574          0.068379   0.026068               0.008129      0.050100  0.037216          0.187228      0.026961        0.182519  -0.081270      0.014654         0.007514                                        0.049901  0.124330 -0.490370      -0.296664
encrypted                                        0.118465     0.074187   1.000000       0.057542    0.042582          0.041391     0.037251     0.024440      0.002994           0.042085      0.062217         0.062222             0.022878            0.050553           0.023215       0.041857               0.004123     -0.002189  0.040485          0.035573   0.027446              -0.004398     -0.002307  0.013738          0.051217     -0.000982        0.009391  -0.007053     -0.003601        -0.001105                                        0.039750 -0.024469 -0.057546      -0.021089
metadata_size                                    0.115383     0.690889   0.057542       1.000000    0.238947          0.799495     0.125070     0.189844      0.055628           0.324203      0.307205         0.307196             0.039536            0.795433           0.065214       0.316867               0.002433      0.408424  0.044998          0.054525   0.039793               0.066790      0.039560  0.064888          0.117412      0.007212        0.442254  -0.032594      0.030039        -0.008495                                        0.045247  0.042736 -0.762777      -0.522210
page_count                                       0.277350     0.216010   0.042582       0.238947    1.000000          0.259198     0.203153     0.759369      0.024739           0.184654      0.427686         0.427645            -0.005337            0.312380           0.073104       0.522979               0.038895      0.123406  0.001075         -0.006587   0.180196               0.005466      0.035898  0.017122          0.074347      0.014552       -0.008656  -0.048094      0.034294        -0.003762                                       -0.002725 -0.073641 -0.287453      -0.174842
valid_pdf_header                                 0.092499     0.607311   0.041391       0.799495    0.259198          1.000000     0.115309     0.184127      0.042440           0.243905      0.228232         0.228230             0.221804            0.974539           0.060211       0.247835               0.053471      0.232520  0.053589          0.069337   0.025436               0.053010      0.034202  0.042138          0.237443      0.011836        0.375393   0.174047      0.056229         0.013323                                        0.057230  0.369492 -0.766116      -0.564088
image_count                                      0.201864     0.089256   0.037251       0.125070    0.203153          0.115309     1.000000     0.158136      0.007908           0.076151      0.298663         0.298680             0.011924            0.096464           0.031350       0.304794               0.226843      0.089458  0.007436          0.001683   0.033206              -0.007179      0.007474  0.014462         -0.024990     -0.002110        0.041049  -0.031346      0.149774        -0.002269                                        0.004230  0.084656 -0.143053      -0.000222
text_length                                      0.301059     0.157169   0.024440       0.189844    0.759369          0.184127     0.158136     1.000000      0.013379           0.180969      0.320459         0.320455            -0.003648            0.226227           0.070911       0.393835               0.020666      0.068295 -0.003339         -0.008921   0.076117              -0.008315      0.041422  0.022277          0.010622      0.010105        0.023230  -0.020558      0.010800        -0.003862                                       -0.005683 -0.096394 -0.216327      -0.142002
object_count                                     0.022137     0.017693   0.002994       0.055628    0.024739          0.042440     0.007908     0.013379      1.000000           0.025633      0.047742         0.047705            -0.008535            0.041874           0.004801       0.045355              -0.000816      0.054787  0.009148          0.015451   0.015517              -0.002250      0.004044  0.002785          0.082462     -0.000191        0.022640  -0.010630      0.003929        -0.000814                                        0.015867 -0.018458 -0.001887       0.008436
font_object_count                                0.135378     0.208818   0.042085       0.324203    0.184654          0.243905     0.076151     0.180969      0.025633           1.000000      0.348752         0.348744            -0.016165            0.262500           0.046317       0.415677              -0.004392      0.225826  0.006672          0.000287   0.045326              -0.009007      0.022225  0.039266          0.004230      0.002369        0.180501  -0.064414      0.022922        -0.003984                                        0.002251 -0.137588 -0.301192      -0.172955
stream_count                                     0.220262     0.186374   0.062217       0.307205    0.427686          0.228232     0.298663     0.320459      0.047742           0.348752      1.000000         0.999999            -0.026247            0.194634           0.060075       0.900165               0.070271      0.451392  0.029324          0.026389   0.087726              -0.012226      0.017630  0.117664         -0.022298      0.001161        0.338210  -0.025129      0.053697        -0.003298                                        0.025517 -0.079628 -0.268077      -0.131706
endstream_count                                  0.220192     0.186344   0.062222       0.307196    0.427645          0.228230     0.298680     0.320455      0.047705           0.348744      0.999999         1.000000            -0.026253            0.194629           0.060073       0.900141               0.070276      0.451406  0.029321          0.026388   0.087707              -0.012226      0.017632  0.117671         -0.022335      0.001161        0.338204  -0.025132      0.053702        -0.003297                                        0.025516 -0.079634 -0.268087      -0.131729
average_stream_size                              0.172388     0.034136   0.022878       0.039536   -0.005337          0.221804     0.011924    -0.003648     -0.008535          -0.016165     -0.026247        -0.026253             1.000000            0.188081           0.026956      -0.023003               0.073056     -0.047232  0.017537          0.011069   0.003246               0.009885      0.045172  0.001300          0.129648      0.007856       -0.043155  -0.030994      0.002911         0.027436                                        0.012894  0.353211 -0.156920      -0.103821
entropy_of_streams                               0.095337     0.610632   0.050553       0.795433    0.312380          0.974539     0.096464     0.226227      0.041874           0.262500      0.194634         0.194629             0.188081            1.000000           0.066708       0.235503               0.053163      0.206319  0.039916          0.050349   0.030452               0.052633      0.032794  0.025284          0.240577      0.012045        0.295220   0.132578      0.053039         0.010347                                        0.043154  0.280647 -0.793588      -0.587578
name_obfuscations                                0.120036     0.030379   0.023215       0.065214    0.073104          0.060211     0.031350     0.070911      0.004801           0.046317      0.060075         0.060073             0.026956            0.066708           1.000000       0.062423               0.007339      0.021586  0.019758          0.017234   0.010128              -0.003994      0.028010  0.013658          0.094760     -0.001033        0.036555  -0.016063      0.003395        -0.000572                                        0.017294 -0.018572 -0.070297      -0.045507
total_filters                                    0.238652     0.196933   0.041857       0.316867    0.522979          0.247835     0.304794     0.393835      0.045355           0.415677      0.900165         0.900141            -0.023003            0.235503           0.062423       1.000000               0.051124      0.413623  0.019386          0.013578   0.117252              -0.011175      0.021673  0.048474         -0.022045      0.001538        0.290090  -0.023959      0.075035        -0.003841                                        0.014158 -0.080556 -0.287624      -0.137473
nested_filter_objects                            0.028726     0.011840   0.004123       0.002433    0.038895          0.053471     0.226843     0.020666     -0.000816          -0.004392      0.070271         0.070276             0.073056            0.053163           0.007339       0.051124               1.000000     -0.019576  0.001348          0.000949  -0.001051              -0.004463     -0.002256 -0.002035         -0.000719     -0.000996       -0.027265  -0.014653     -0.004707        -0.001122                                        0.001442  0.094036 -0.055285      -0.021901
